carrier_1,region_1,region_2,region_1,region_2,parameter,value
gas,FR,FR,CH,CH,capaExcResiDir,15.5
gas,FR,FR,ES,ES,capaExcResiDir,9.8
gas,AT,AT,HU,HU,capaExcResiDir,7.7
gas,AT,AT,IT,IT,capaExcResiDir,68
gas,AT,AT,SI,SI,capaExcResiDir,6.7
gas,AT,AT,SK,SK,capaExcResiDir,14.7
gas,BE,BE,FR,FR,capaExcResiDir,51.7
gas,BE,BE,LU,LU,capaExcResiDir,2.3
gas,BE,BE,NL,NL,capaExcResiDir,23.4
gas,BE,BE,UK,UK,capaExcResiDir,47.8
gas,BG,BG,RO,RO,capaExcResiDir,0.9
gas,CH,CH,IT,IT,capaExcResiDir,37
gas,CZ,CZ,PL,PL,capaExcResiDir,1.7
gas,CZ,CZ,SK,SK,capaExcResiDir,41.4
gas,DK,DK,NL,NL,capaExcResiDir,23.5
gas,DK,DK,SE,SE,capaExcResiDir,5.2
gas,EE,EE,LV,LV,capaExcResiDir,11.9
gas,ES,ES,FR,FR,capaExcResiDir,13.4
gas,ES,ES,PT,PT,capaExcResiDir,8.6
gas,HR,HR,HU,HU,capaExcResiDir,4.5
gas,HU,HU,HR,HR,capaExcResiDir,4.6
gas,HU,HU,NONEU_Balkan,NONEU_Balkan,capaExcResiDir,8.4
gas,HU,HU,RO,RO,capaExcResiDir,3.1
gas,IE,IE,UK,UK,capaExcResiDir,5.3
gas,IT,IT,AT,AT,capaExcResiDir,68
gas,IT,IT,SI,SI,capaExcResiDir,1.7
gas,LT,LT,LV,LV,capaExcResiDir,4
gas,LV,LV,EE,EE,capaExcResiDir,10.9
gas,LV,LV,LT,LT,capaExcResiDir,3.9
gas,NL,NL,BE,BE,capaExcResiDir,47.4
gas,NL,NL,UK,UK,capaExcResiDir,29.4
gas,NO,NO,BE,BE,capaExcResiDir,29
gas,NO,NO,FR,FR,capaExcResiDir,33.9
gas,NO,NO,NL,NL,capaExcResiDir,31.4
gas,NO,NO,UK,UK,capaExcResiDir,89.1
gas,PT,PT,ES,ES,capaExcResiDir,4.8
gas,SI,SI,HR,HR,capaExcResiDir,3.2
gas,SI,SI,IT,IT,capaExcResiDir,1.3
gas,SK,SK,AT,AT,capaExcResiDir,91.5
gas,SK,SK,CZ,CZ,capaExcResiDir,30.9
gas,SK,SK,HU,HU,capaExcResiDir,7.5
gas,UK,UK,BE,BE,capaExcResiDir,37.5
gas,UK,UK,IE,IE,capaExcResiDir,20.3
gas,DE,DE21,AT,AT,capaExcResi,16.92525684
gas,DE,DE22,AT,AT,capaExcResi,16.92525684
gas,DE,DE23,CZ,CZ,capaExcResi,1.121471201
gas,DE,DE94,NO,NO,capaExcResi,19.41832146
gas,DE,DE94,NL,NL,capaExcResi,3.278
gas,DE,DEA1,NL,NL,capaExcResi,3.278
gas,DE,DEA3,NL,NL,capaExcResi,3.278
gas,DE,DED4,CZ,CZ,capaExcResi,1.121471201
gas,DE,DEF0,DK,DK,capaExcResi,5.833062184
