region_1,region_2,technology_1,technology_2,parameter,value
AT,AT,wind_offshore,offshore_c,capaConvResi,0.0
BE,BE,wind_offshore,offshore_c,capaConvResi,0.0
BG,BG,wind_offshore,offshore_c,capaConvResi,0.0
CH,CH,wind_offshore,offshore_c,capaConvResi,0.0
CZ,CZ,wind_offshore,offshore_c,capaConvResi,0.0
DK,DK,wind_offshore,offshore_c,capaConvResi,0.0
EE,EE,wind_offshore,offshore_c,capaConvResi,0.0
ES,ES,wind_offshore,offshore_c,capaConvResi,0.0
FI,FI,wind_offshore,offshore_c,capaConvResi,0.0
FR,FR,wind_offshore,offshore_c,capaConvResi,0.0
GR,GR,wind_offshore,offshore_c,capaConvResi,0.0
HR,HR,wind_offshore,offshore_c,capaConvResi,0.0
HU,HU,wind_offshore,offshore_c,capaConvResi,0.0
IE,IE,wind_offshore,offshore_c,capaConvResi,0.0
IT,IT,wind_offshore,offshore_c,capaConvResi,0.0
LT,LT,wind_offshore,offshore_c,capaConvResi,0.0
LU,LU,wind_offshore,offshore_c,capaConvResi,0.0
LV,LV,wind_offshore,offshore_c,capaConvResi,0.0
NL,NL,wind_offshore,offshore_c,capaConvResi,0.0
NO,NO,wind_offshore,offshore_c,capaConvResi,0.0
NONEU_Balkan,NONEU_Balkan,wind_offshore,offshore_c,capaConvResi,0.0
PL,PL,wind_offshore,offshore_c,capaConvResi,0.0
PT,PT,wind_offshore,offshore_c,capaConvResi,0.0
RO,RO,wind_offshore,offshore_c,capaConvResi,0.0
SE,SE,wind_offshore,offshore_c,capaConvResi,0.0
SI,SI,wind_offshore,offshore_c,capaConvResi,0.0
SK,SK,wind_offshore,offshore_c,capaConvResi,0.0
TR,TR,wind_offshore,offshore_c,capaConvResi,0.0
UK,UK,wind_offshore,offshore_c,capaConvResi,0.0
AT,AT,electricResidentalHeating,,capaConvResi,100.0
BE,BE,electricResidentalHeating,,capaConvResi,100.0
BG,BG,electricResidentalHeating,,capaConvResi,100.0
CH,CH,electricResidentalHeating,,capaConvResi,100.0
CZ,CZ,electricResidentalHeating,,capaConvResi,100.0
DK,DK,electricResidentalHeating,,capaConvResi,100.0
EE,EE,electricResidentalHeating,,capaConvResi,100.0
ES,ES,electricResidentalHeating,,capaConvResi,100.0
